epoch_duration,epoch,batch_size,data_size,accuracy,test_duration
0.4295097730355337,0,64,7500,0.1705,0.24212273093871772
0.43940611300058663,1,64,7500,0.3145,0.24264266109094024
0.4299011130351573,2,64,7500,0.3975,0.24485921091400087
0.8628624770790339,0,64,15000,0.2334,0.24664520099759102
0.866263117059134,1,64,15000,0.2699,0.25070087995845824
0.8242022580234334,2,64,15000,0.2896,0.24808685097377747
1.691597905009985,0,64,30000,0.2001,0.24132801103405654
1.6394562679342926,1,64,30000,0.4783,0.24053340102545917
1.632217828067951,2,64,30000,0.571,0.2485281398985535
3.2981534039136022,0,64,60000,0.4692,0.24719363008625805
3.4456694680266082,1,64,60000,0.5745,0.25021569000091404
3.3142718139570206,2,64,60000,0.5959,0.24258742004167289
