epoch_duration,epoch,batch_size,data_size,accuracy,test_duration
2.624545918079093,0,4,6250,0.1,1.904027126962319
2.624725966947153,1,4,6250,0.1013,1.9094776939600706
2.617163445916958,2,4,6250,0.1393,1.8991018650121987
5.211082743946463,0,4,12500,0.1062,1.897107376018539
5.22112533391919,1,4,12500,0.1056,1.890991696040146
5.223712194012478,2,4,12500,0.1681,1.8972346049267799
10.464393226895481,0,4,25000,0.1093,1.8863933850079775
10.406747329980135,1,4,25000,0.2599,1.8714919559424743
10.397902670083568,2,4,25000,0.3001,1.872961155953817
21.03547552006785,0,4,50000,0.248,1.8937095649307594
20.950996742933057,1,4,50000,0.3629,1.918241215054877
20.94818548404146,2,4,50000,0.4276,1.902341946028173
